date,region,category,demand,revenue,year,month,month_name,year_month
2019-01-01,North,Electronics,539,47940.76,2019,1,January,2019-01
2019-01-01,West,Office Supplies,299,13095.38,2019,1,January,2019-01
2019-01-01,West,Furniture,352,40484.04,2019,1,January,2019-01
2019-01-01,West,Electronics,456,37141.61,2019,1,January,2019-01
2019-01-01,East,Furniture,365,41026.62,2019,1,January,2019-01
2019-01-01,East,Electronics,467,37169.01,2019,1,January,2019-01
2019-01-01,East,Office Supplies,267,11851.46,2019,1,January,2019-01
2019-01-01,South,Furniture,414,44916.53,2019,1,January,2019-01
2019-01-01,South,Electronics,493,44973.92,2019,1,January,2019-01
2019-01-01,North,Office Supplies,298,12224.78,2019,1,January,2019-01
2019-01-01,North,Furniture,391,47845.81,2019,1,January,2019-01
2019-01-01,South,Office Supplies,301,14817.99,2019,1,January,2019-01
2019-02-01,East,Furniture,340,44140.05,2019,2,February,2019-02
2019-02-01,West,Office Supplies,316,15002.48,2019,2,February,2019-02
2019-02-01,West,Furniture,363,47651.02,2019,2,February,2019-02
2019-02-01,West,Electronics,496,42329.21,2019,2,February,2019-02
2019-02-01,East,Office Supplies,303,13121.54,2019,2,February,2019-02
2019-02-01,East,Electronics,500,38542.3,2019,2,February,2019-02
2019-02-01,North,Office Supplies,310,14250.05,2019,2,February,2019-02
2019-02-01,South,Furniture,373,46409.25,2019,2,February,2019-02
2019-02-01,South,Electronics,575,41525.63,2019,2,February,2019-02
2019-02-01,North,Furniture,409,49219.73,2019,2,February,2019-02
2019-02-01,North,Electronics,586,46818.15,2019,2,February,2019-02
2019-02-01,South,Office Supplies,292,12982.72,2019,2,February,2019-02
2019-03-01,East,Furniture,389,51225.58,2019,3,March,2019-03
2019-03-01,West,Office Supplies,366,15066.9,2019,3,March,2019-03
2019-03-01,West,Furniture,459,58068.31,2019,3,March,2019-03
2019-03-01,West,Electronics,577,52139.36,2019,3,March,2019-03
2019-03-01,East,Electronics,539,41916.61,2019,3,March,2019-03
2019-03-01,East,Office Supplies,291,11799.96,2019,3,March,2019-03
2019-03-01,South,Furniture,407,46700.17,2019,3,March,2019-03
2019-03-01,South,Electronics,542,43963.21,2019,3,March,2019-03
2019-03-01,South,Office Supplies,360,16338.34,2019,3,March,2019-03
2019-03-01,North,Office Supplies,352,15487.33,2019,3,March,2019-03
2019-03-01,North,Furniture,450,50716.61,2019,3,March,2019-03
